Sim Index,Cluster Index,a,b,x0,SSE (Integral)
1,1,0.002523163377514602,0.23064759447741962,0.0008360709705911723,3.2650991079062703e-07
1,2,0.0024115756988358954,0.1842860703285659,0.0008123943849579529,1.4127574433552057e-07
2,1,0.0026431959504977917,0.26596816131479906,0.0008974754562697654,2.065950177572581e-06
2,2,0.0008485789190683509,0.2627293342406314,0.0007843393703254797,1.5096308490538853e-07
3,1,0.0016257848860550801,0.11707252598793574,0.0007088750432670321,6.282455891502214e-08
3,2,0.0024900227090189583,0.23680806839015048,0.0008410013698626793,5.224477371573319e-07
4,1,0.001174347856927606,0.13905301909862053,0.0006662805433428409,9.221636502232258e-08
4,2,0.0015554399341596952,0.2812149890827181,0.0008389693295486273,3.961821491154091e-07
5,1,0.0008414096846842311,0.41026492621615,0.0009661612793370262,2.2904577428308984e-06
5,2,0.0009410095633262237,0.14032410251688587,0.0008130823363444478,3.375375527257287e-08
6,1,0.000834837665191775,0.1280078746790265,0.000672459567231518,2.887690121686925e-09
6,2,0.0007742184044489333,0.24414960455350582,0.0007985688782492432,1.0939650056032238e-07
7,1,0.0020329138876805665,0.18352955199591287,0.0007863625142750416,8.467129218820171e-08
7,2,0.0009231127709006332,0.17146871555972962,0.0007361032206319073,1.8513925888591483e-08
8,1,0.0012558493493209206,0.21342872134063925,0.000843730949882132,2.1060010668604947e-07
8,2,0.0018472978489451467,0.28648240840649564,0.0008867984093394899,1.039894457280322e-06
9,1,0.0025856408806324243,0.13358174785859567,0.0007224691794215703,1.1402204640425274e-08
9,2,0.001368070010276173,0.24015577510480476,0.000820495537853069,2.3599455501308437e-07
10,1,0.0018297726785858888,0.15089905368015707,0.0007695411309170585,5.87100922803879e-08
10,2,0.0007423232025886217,0.5621549665199046,0.0011779157191098252,1.477387667825303e-06
